relation_type,subject_type,subject_key,object_type,object_key,source_dataset,source_record_id,period,acquisition_date,confidence_note,amount_if_present,ipa,source_url,regola_classificazione
organization_awarded_direct_award,organization,GARAGE SANI SNC,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,8203e9dbe352e25e2db70ac6d1d9b50eadd8e1b861e36f5f904f3143bf045ded,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,365.04,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20653_566_1.html,org_snc
organization_awarded_direct_award,organization,CEDAR CONSULTING SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,f3b2b03cd0074438d11f60b28033bb05aedd9cf416d03b94b3f31d8002b3585b,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20928_566_1.html,org_srl
organization_awarded_direct_award,organization,INFRASTRUTTURE MILANO CORTINA 202- 2026 S.P.A.,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,4ce0f41d3fc918dc12b9f83e1787372453e885859b36b36196ce7bfa8197647b,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_18713_566_1.html,org_spa
organization_awarded_direct_award,organization,NIDO S.R.L.,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,6f09a1b88bc5397f1ebd83984b3437ee1b607e8672b7ff0e9b713dc067151f8e,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,256.2,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20729_566_1.html,org_srl
organization_awarded_direct_award,organization,"DEL SERVIZIO, TECHNOLOGIES 2000 SRL",public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,df040b01d63a41081767ceb5e5866d8a523f8d5e1603744099263cacb11c01b3,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,16000.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20731_566_1.html,org_srl
organization_awarded_direct_award,organization,INFRASTRUTTURE MILANO CORTINA 2026 S.P.A.,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,e352c3340e332f695f1d0cf54ba6ebff2ae3c3881a3243ecaae1f8651b1094f1,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_18717_566_1.html,org_spa
organization_awarded_direct_award,organization,GRAFICA ISERNINA S.R.L.,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,57e48464a56b0d1d0071f58dbb739553d46aea2eed26b7b2ebef9ddd1c769250,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,10068.66,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20382_566_1.html,org_srl
organization_awarded_direct_award,organization,"DEL SERVIZIO, MILLE SERVIZI SRL",public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,ce6fe61c4352e13f9f7f3b01ea02082c0ef0870d604bdcdeee298577ad937272,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,13988.4,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20734_566_1.html,org_srl
organization_awarded_direct_award,organization,NEXION S.P.A.,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,b91019c842fe28142d9b1decd4c26984e16a83e0ebeefd1392bda1ec0417f9f5,2025-09-23,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,15864.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20738_566_1.html,org_spa
organization_awarded_direct_award,organization,BOCCI CARTA SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,16624bc8938ddcc924b664840fa26e2712a1aa9bd4973bc799d3fdb642ca8b67,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,1040.35,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20739_566_1.html,org_srl
organization_awarded_direct_award,organization,SAUBER & SAUBER SRLS,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,7d709635ce4fb48f6b4d0f11283680f0314799bc717ad5e6cfd5e1037253fc8d,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,41311.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_17654_566_1.html,org_srl
organization_awarded_direct_award,organization,PALITALSOFT SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,4f35e2afadcb8492debcc6ac920ad58bfada2ff72a15e60d8c64ab9de0837b1e,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,34257.6,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_17651_566_1.html,org_srl
organization_awarded_direct_award,organization,FIORINI IMPIANTI GROUP SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,03d90e85d3294da597451bcd607ca7fad6b48f13977160aecc8975be236ed8de,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,1761.68,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20742_566_1.html,org_srl
organization_awarded_direct_award,organization,TOPCON POSITIONING ITALY SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,b3a946d4062a27f9982c56a7441173ecd239b498d17e1403cb84b1bdcffb855c,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,516.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_17650_566_1.html,org_srl
organization_awarded_direct_award,organization,PADANA SERVICE S.R.L,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,b75519be15ea81f64936028d5a9475ad44c2abb0cf3c3c18b1d4c54d0a9e9c13,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_20744_566_1.html,org_srl
organization_awarded_direct_award,organization,TOPCON POSITIONING ITALY SRL,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,dd5b041da555d92f19408fb7d5d970e6927aa89c7df059c5007184f339f466dd,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,516.0,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_17656_566_1.html,org_srl
organization_awarded_direct_award,organization,PROCED S.R.L.,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,8f124a6a624504f96eb6188b6638cebb7c493d2af2b04e9ef492756a2f47cbe3,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,816.8,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_17652_566_1.html,org_srl
organization_awarded_direct_award,organization,INFRASTRUTTURE MILANO CORTINA 2026 S.P.A.,public_entity,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,affidamenti-diretti,a8cfb0e5e67663f7949208c132849100a971ae3cd604a9a9145e0c4d214eee8e,2026-01-01,2026-09-05,classificazione contraente da regole conservative documentate in docs/NORMALIZZAZIONE.md; i nomi non classificati non generano arco,,m_inf,https://trasparenza.mit.gov.it/archivio105_procedure-dal-01012024_0_16273_566_1.html,org_spa
